Source Name,Sample Name,Characteristics: Organism,Factor Value: Genotype,Characteristics: ecotype,Characteristics: organism part,Characteristics: Seed Source,Characteristics: age,Characteristics: developmental stage,Factor Value: Spaceflight,Protocol REF,Parameter Value: Growth Medium,Parameter Value: Mean Growth temperature,Parameter Value: Hardware,Parameter Value: Container,Parameter Value: light source,Parameter Value: light cycle,Parameter Value: Light Intensity,Parameter Value: Light quality,Parameter Value: growth environment,Parameter Value: Average Percent Humidity,Parameter Value: Temperature Range,Parameter Value: Growth time,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Comment: Data File Note,Parameter Value: Age at sample harvest,Parameter Value: Developmental stage at time of sample collection
"Ground control, Col-0, Leaves, replicate 3",GSM3330768,Arabidopsis thaliana,Wild Type,Col-0,leaf,TAIR CS70000,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Ground control, Col-0, Leaves, replicate 4",GSM3330769,Arabidopsis thaliana,Wild Type,Col-0,leaf,TAIR CS70000,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 1",GSM3330770,Arabidopsis thaliana,Wild Type,Col-0,leaf,TAIR CS70000,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 2",GSM3330771,Arabidopsis thaliana,Wild Type,Col-0,leaf,TAIR CS70000,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 3",GSM3330772,Arabidopsis thaliana,Wild Type,Col-0,leaf,TAIR CS70000,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 4",GSM3330773,Arabidopsis thaliana,Wild Type,Col-0,leaf,TAIR CS70000,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Leaves, replicate 1",GSM3330774,Arabidopsis thaliana,elp2-5,Col-0,leaf,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Leaves, replicate 2",GSM3330775,Arabidopsis thaliana,elp2-5,Col-0,leaf,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Leaves, replicate 3",GSM3330776,Arabidopsis thaliana,elp2-5,Col-0,leaf,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Leaves, replicate 4",GSM3330777,Arabidopsis thaliana,elp2-5,Col-0,leaf,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 1",GSM3330778,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 2",GSM3330779,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 3",GSM3330780,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 4",GSM3330781,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.06 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,ISS-Columbus,46.73,1.72-28.15 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
"Ground control, elp2-5, Leaves, replicate 1",GSM3330782,Arabidopsis thaliana,elp2-5,Col-0,leaf,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.14 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100-135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),34.92,2.88-24.20 degree Celsius,11 day,sample collection,RNAlater,-80 degree Celsius,GeneLab concatenated the submitted raw data files to be one forward and one reverse read each sample,11 day,Seedlings
