Source Name,Sample Name,Characteristics: Organism,Characteristics: Genotype,Characteristics: Ecotype,Characteristics: Age,Factor Value: Organism Part,Factor Value: Spaceflight,Comment: Original Submitted Sample Name,Protocol REF,Parameter Value: Sample Description,Protocol REF,Parameter Value: Sample Preservation Method,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: Exposure Duration,Parameter Value: Absorbed Radiation Dose,Parameter Value: Maximum Total Absorbed Dose,Parameter Value: Minimum Total Absorbed Dose
Etiolated seedlings,Atha_Col-0_sl_GC_BA5,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Ground Control,GCA5,P-MTAB-25688,CONTROL BRIC A PDFU-5 319 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Etiolated seedlings,Atha_Col-0_sl_GC_BG1,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Ground Control,GCG1,P-MTAB-25688,CONTROL BRIC G PDFU-1 335 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Tissue culture cells,Atha_Col-0_UdCC_FLT_BB2,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Space Flight,FLB2,P-MTAB-25688,BRIC B PDFU-2 083 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Tissue culture cells,Atha_Col-0_UdCC_FLT_BB3,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Space Flight,FLB3,P-MTAB-25688,BRIC B PDFU-3 104 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Tissue culture cells,Atha_Col-0_UdCC_FLT_BB4,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Space Flight,FLB4,P-MTAB-25688,BRIC B PDFU-4 033 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Tissue culture cells,Atha_Col-0_UdCC_FLT_BB5,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Space Flight,FLB5,P-MTAB-25688,BRIC B PDFU-5 153 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Tissue culture cells,Atha_Col-0_UdCC_FLT_BG2,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Space Flight,FLG2,P-MTAB-25688,BRIC G PDFU-2 018 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Tissue culture cells,Atha_Col-0_UdCC_FLT_BG3,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Space Flight,FLG3,P-MTAB-25688,BRIC G PDFU-3 159 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Tissue culture cells,Atha_Col-0_UdCC_GC_BB2,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Ground Control,GCB2,P-MTAB-25688,BRIC B PDFU-2 312 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Tissue culture cells,Atha_Col-0_UdCC_GC_BB3,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Ground Control,GCB3,P-MTAB-25688,BRIC B PDFU-3 338 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Tissue culture cells,Atha_Col-0_UdCC_GC_BB4,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Ground Control,GCB4,P-MTAB-25688,BRIC B PDFU-4 331 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Tissue culture cells,Atha_Col-0_UdCC_GC_BB5,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Ground Control,GCB5,P-MTAB-25688,BRIC B PDFU-5 318 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Tissue culture cells,Atha_Col-0_UdCC_GC_BG2,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Ground Control,GCG2,P-MTAB-25688,BRIC G PDFU-2 355 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Tissue culture cells,Atha_Col-0_UdCC_GC_BG3,Arabidopsis thaliana,Wild Type,Col-0,7 day,Undifferentiated Cell Culture,Ground Control,GCG3,P-MTAB-25688,BRIC G PDFU-3 334 tissue,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
