Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Variety,Term Source REF,Term Accession Number,Characteristics: genotype,Term Source REF,Term Accession Number,Characteristics: age,Unit,Term Source REF,Term Accession Number,Characteristics: Seed Source,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Sample Preservation Method,Term Source REF,Term Accession Number,Comment: Original Submitted Sample Name,Characteristics: organism part,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Term Source REF,Term Accession Number,Comment: Initiation Date,Comment: Completion Date,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: Growth Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Medium,Term Source REF,Term Accession Number,Parameter Value: Light quality,Unit,Term Source REF,Term Accession Number,Parameter Value: Light intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: light cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
n2-2,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,n2-2-seedlings,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
n2-3,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,n2-3-seedlings,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-1.Subject-1,Atha_WT-Col-0_sl_FLT_Rep1_G1S1_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-1.Subject-1.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-1.Subject-2,Atha_WT-Col-0_sl_FLT_Rep2_G1S2_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-1.Subject-2.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-1.Subject-3,Atha_WT-Col-0_sl_FLT_Rep3_G1S3_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-1.Subject-3.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-2.Subject-1,Atha_WT-Col-0_sl_GC_Rep1_G2S1_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-2.Subject-1.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-2.Subject-2,Atha_WT-Col-0_sl_GC_Rep2_G2S2_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-2.Subject-2.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-2.Subject-3,Atha_WT-Col-0_sl_GC_Rep3_G2S3_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-2.Subject-3.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-1.Subject-1,Atha_WT-Col-0_sl_FLT_Rep1_G1S1_soluble,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-1.Subject-1.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-1.Subject-2,Atha_WT-Col-0_sl_FLT_Rep2_G1S2_soluble,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-1.Subject-2.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-1.Subject-3,Atha_WT-Col-0_sl_FLT_Rep3_G1S3_soluble,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-1.Subject-3.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-2.Subject-1,Atha_WT-Col-0_sl_GC_Rep1_G2S1_soluble,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-2.Subject-1.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-2.Subject-2,Atha_WT-Col-0_sl_GC_Rep2_G2S2_soluble,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-2.Subject-2.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
Group-2.Subject-3,Atha_WT-Col-0_sl_GC_Rep3_G2S3_soluble,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,Group-2.Subject-3.seedlings.Pooled,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
rl-1,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1_membrane,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,RBO,http://purl.obolibrary.org/obo/RBO_00005027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,rl-1-seedlings,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,BRIC-PDFU,GLDS,https://genelab-data.ndc.nasa.gov/,10-Jan-15,13-Jan-15,continuous dark (no light) regimen,EFO,http://purl.obolibrary.org/obo/EO_0007270,22 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,GLDS,https://genelab-data.ndc.nasa.gov/,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Not applicable,,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,76 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection protocol,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
