Source Name,Sample Name,Comment: Original Submitted Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Ecotype,Term Source REF,Term Accession Number,Characteristics: Material Type,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Characteristics: Seed Source,Characteristics: Mission Duration (between launch and landing),Unit,Term Source REF,Term Accession Number,Characteristics: Time between launch and sample harvest,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: Growth Medium,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Light Color,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Time Start Date (MM/DD/YY),Protocol REF,Parameter Value: Actual Gravity Level,Term Source REF,Term Accession Number,Parameter Value: Light Treatment Duration,Unit,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Color,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Source,Term Source REF,Term Accession Number,Parameter Value: Gravity Treatment Duration,Unit,Term Source REF,Term Accession Number,Parameter Value: Mission Launch,Parameter Value: Mission Return,Parameter Value: Launch Date (MM/DD/YY),Protocol REF,Parameter Value: ionizing radiation,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose,Unit,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose rate,Unit,Term Source REF,Term Accession Number,Parameter Value: exposure duration,Unit,Term Source REF,Term Accession Number,Parameter Value: vehicle,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose (from launch to sample harvest),Unit,Term Source REF,Term Accession Number,Parameter Value: ionizing radiation categorized by source,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Sample Harvest Date (MM/DD/YY),Term Source REF,Term Accession Number,Comment: RUN,Comment: Mission
Sample 154,Atha_Ler-0_sl_FLT_0.36G_Rep1,Sample 154,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.36G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,79 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/12/13,treatment protocol,0.34G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.056 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.343 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,27.097 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 3,SG1
Sample 160,Atha_Ler-0_sl_FLT_0.36G_Rep2,Sample 160,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.36G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,79 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/12/13,treatment protocol,0.39G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.056 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.343 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,27.097 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 3,SG1
Sample 211,Atha_Ler-0_sl_FLT_0.36G_Rep3,Sample 211,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.36G by centrifugation,,,Not Available,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,55 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,11/08/14,treatment protocol,0.34G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-3,SpaceX CRS-5,09/21/14,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,1.763 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,16.17 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG2 Run 1,SG2
Sample 171,Atha_Ler-0_sl_FLT_0.57G_Rep1,Sample 171,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.57G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,85 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/18/13,treatment protocol,0.52G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.012 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.335 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,28.475 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/24/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 4,SG1
Sample 176,Atha_Ler-0_sl_FLT_0.57G_Rep2,Sample 176,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.57G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,85 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/18/13,treatment protocol,0.55G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.012 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.335 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,28.475 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/24/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 4,SG1
Sample 214,Atha_Ler-0_sl_FLT_0.57G_Rep3,Sample 214,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.57G by centrifugation,,,Not Available,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,55 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,11/08/14,treatment protocol,0.58G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-3,SpaceX CRS-5,09/21/14,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,1.763 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,16.17 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/14/14,GLDS,https://genelab-data.ndc.nasa.gov/,SG2 Run 1,SG2
Sample 231,Atha_Ler-0_sl_FLT_0.57G_Rep4,Sample 231,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.57G by centrifugation,,,Not Available,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,62 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,11/15/14,treatment protocol,0.55G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-3,SpaceX CRS-5,09/21/14,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,1.764 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,18.228 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/21/14,GLDS,https://genelab-data.ndc.nasa.gov/,SG2 Run 2,SG2
Sample 175,Atha_Ler-0_sl_FLT_1G_Rep1,Sample 175,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,1G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,85 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/18/13,treatment protocol,1G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.012 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.335 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,28.475 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/24/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 4,SG1
Sample 179,Atha_Ler-0_sl_FLT_1G_Rep2,Sample 179,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,1G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,85 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/18/13,treatment protocol,0.92G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.012 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.335 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,28.475 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/24/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 4,SG1
Sample 235,Atha_Ler-0_sl_FLT_1G_Rep3,Sample 235,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,1G by centrifugation,,,Not Available,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,62 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,11/15/14,treatment protocol,1.05G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-3,SpaceX CRS-5,09/21/14,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,1.764 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,18.228 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/21/14,GLDS,https://genelab-data.ndc.nasa.gov/,SG2 Run 2,SG2
